시군명,정류소명,정류소영문명,정류소id,정류소번호,중앙차로여부,관할관청,위치,WGS84위도,WGS84경도
화성시,어은삼거리,Eoeun Samgeori,233001387,37593.0,노변정류장,경기도 화성시,경기도 화성시 장안면,37.0862,126.8265333
화성시,어은삼거리,Eoeun Samgeori,233001816,37792.0,노변정류장,경기도 화성시,경기도 화성시 장안면,37.0858833,126.8265
화성시,어은삼거리,Eoeun Samgeori,233000931,37122.0,노변정류장,경기도 화성시,경기도 화성시 장안면,37.0859167,126.8264
화성시,어천,Eocheon,233000844,37566.0,노변정류장,경기도 화성시,경기도 화성시 매송면,37.2494667,126.91085
화성시,어천,Eocheon ,233000842,37565.0,노변정류장,경기도 화성시,경기도 화성시 매송면,37.24935,126.9108333
화성시,어천저수지,Eocheon Reservoir,233002150,55107.0,노변정류장,경기도 화성시,경기도 화성시 매송면,37.25135,126.9147833
화성시,어천저수지,Eocheon Reservoir,233002149,55106.0,노변정류장,경기도 화성시,경기도 화성시 매송면,37.25125,126.9148167
화성시,언창공단,Eonchang Industrial Complex,233002044,55018.0,노변정류장,경기도 화성시,경기도 화성시 팔탄면,37.1933333,126.8823
화성시,언창공단,Eonchang Industrial Complex,233002045,55007.0,노변정류장,경기도 화성시,경기도 화성시 팔탄면,37.1933667,126.8824
화성시,업무복합.A73,,233003136,55532.0,,,,37.1672,127.1064667
화성시,업무복합부지,,233001632,55494.0,,,,37.1993333,127.0929167
화성시,업무복합부지,,233001634,55495.0,,,,37.1991167,127.09255
화성시,에일린의뜰,Eileen-Garden ,233002103,55084.0,노변정류장,경기도 화성시,경기도 화성시 향남읍,37.1278667,126.9206167
화성시,에일린의뜰.포스코,"Eileen-Garden, Posco",233002498,55405.0,노변정류장,경기도 화성시,경기도 화성시 오산동,37.1871833,127.0869333
화성시,에일린의뜰.포스코,"Eileen-Garden, Posco",233002499,55410.0,노변정류장,경기도 화성시,경기도 화성시 오산동,37.1869167,127.0867833
