node_id,ars_no,name,lon,lat,in_hwaseong
GGB201000359,2864,홈플러스서수원점,126.955567,37.274733,0
GGB201000360,2863,홈플러스서수원점,126.95545,37.2749,0
GGB201000365,2872,서수원주민편익시설,126.972717,37.248367,0
GGB201000389,2926,고색동입구,126.98995,37.253533,0
GGB201000390,2331,중보교.수원역자동차운전전문학원,126.994583,37.25575,0
GGB201000391,2888,영조아파트.푸르지오아파트,126.9691,37.242883,0
GGB201000392,2889,영조아파트.푸르지오아파트,126.9693,37.242917,0
GGB201000393,2890,아름다운나날,126.96975,37.241133,0
GGB201000396,2895,대명고등학교,126.941433,37.293817,0
GGB201000399,2894,세류2동,127.011767,37.2517,0
GGB201000406,2905,능실마을16단지,126.955317,37.261767,0
GGB201000407,2906,능실마을16단지,126.955617,37.261467,0
GGB201000408,2907,호매실마을14단지.장애인종합복지관,126.957133,37.262717,0
GGB201000409,2908,호매실마을14단지.장애인종합복지관,126.9574,37.262817,0
GGB201000410,2909,수원시보훈회관.호매실마을13단지,126.9573,37.265117,0
GGB201000411,2910,호매실마을13단지.수원시보훈회관,126.9576,37.265317,0
GGB201000412,2911,모아미래도아파트.호매실역서희스타힐스,126.940933,37.2743,0
GGB201000413,2912,호매실역서희스타힐스.모아미래도아파트,126.940367,37.2741,0
GGB201000414,2913,금곡동행정복지센터.호매실지구대,126.952883,37.273817,0
GGB201000415,2914,금곡동행정복지센터.호매실지구대,126.952883,37.274033,0
GGB201000424,2841,세류역환승주차장,127.0156,37.241867,0
GGB201000429,2932,한국방송통신대학교,126.958367,37.241817,0
GGB201000430,2959,수원아이파크시티.선일초교,127.02885,37.24725,0
GGB201000431,2933,동남아파트,127.000317,37.261117,0
GGB201000432,2934,동남아파트,127.000433,37.260817,0
GGB201000435,2930,능실초등학교.힐스테이트호매실,126.956933,37.260167,0
GGB201000436,2931,능실초등학교.힐스테이트호매실,126.957183,37.26035,0
GGB201000438,2939,호매실스위첸19단지.능실마을22단지,126.95985,37.258717,0
GGB201000439,2940,호매실스위첸19단지.능실마을22단지,126.960233,37.258567,0
GGB201000440,2941,호매실엔루체,126.962133,37.25745,0
GGB201000442,2938,한양수자인파크원아파트.자목마을입구,126.949383,37.266533,0
GGB201000447,2942,호매실스타힐스.수원여대입구,126.961917,37.254283,0
GGB201000448,2943,호매실스타힐스.수원여대입구,126.962017,37.2542,0
GGB201000455,2947,호매실쌍용아파트,126.95125,37.268017,0
GGB201000458,2944,호매실엔루체,126.962333,37.2578,0
GGB201000463,2996,신미주.호반베르디움.일신건영아파트,126.95305,37.270417,0
GGB201000464,2995,호반베르디움.신미주.일신건영아파트,126.953133,37.270567,0
GGB201000470,2957,구운동주민센터.서수원도서관,126.97105,37.274633,0
GGB201000474,2961,센트럴어반시티,127.003733,37.261167,0
GGB201000475,2962,센트럴어반시티,127.004017,37.261317,0
GGB201000477,2969,수원아이파크5단지.곡정초등학교,127.026317,37.240133,0
GGB201000478,2970,수원아이파크5단지.곡정초등학교,127.02625,37.239867,0
GGB201000488,2972,서수원주민편익시설,126.972333,37.248583,0
GGB201000492,2332,중보교.수원역자동차운전전문학원,126.994867,37.2556,0
GGB201000493,2008,영조아름다운나날1단지,126.96995,37.24125,0
GGB201000500,2341,호매실입구(구운동),126.966433,37.273833,0
GGB201000590,2983,수원역환승센터(4승강장),126.9989,37.265183,0
GGB201000591,2984,수원역환승센터(5승강장),126.99865,37.265217,0
GGB201000592,2985,수원역환승센터(6승강장),126.998467,37.2654,0
GGB202000001,1194,수원시평생학습관.연무사회복지관.창룡도서관,127.0271,37.2914,0
GGB202000002,2856,수원남부소방서,127.0361,37.255617,0
GGB202000004,3129,아주대학교입구,127.043867,37.27585,0
GGB202000005,3126,아주대.아주대학교병원,127.0437,37.2786,0
GGB202000007,3074,성빈센트병원,127.02715,37.277083,0
GGB202000008,3080,동수원사거리,127.02935,37.278333,0
GGB202000014,3107,인계선경아파트,127.036567,37.276867,0
GGB202000015,3130,수원고용복지플러스센터.동수원병원.라마다호텔,127.0339,37.2776,0
GGB202000016,3101,수원고용복지플러스센터.동수원병원.라마다호텔,127.035167,37.277617,0
GGB202000017,3110,우만신성아파트,127.037,37.277067,0
GGB202000029,3054,팔달문.이안과,127.016783,37.27995,0
GGB202000030,3056,팔달문,127.017267,37.277683,0
GGB202000031,3142,영동시장,127.0185,37.275333,0
GGB202000043,3092,수원월드컵경기장입구.우만주공3단지,127.032533,37.292367,0
GGB201000544,2167,평동동남아파트,126.999267,37.262733,0
GGB201000545,2190,평동동남아파트,126.99895,37.263183,0
GGB201000579,2340,호매실입구(탑동),126.965967,37.273533,0
