key,stop_id,ars,name,lon,lat,grid_id,region,board_day,board_day_we,alight_day,board_imputed,n_routes,freq_imputed,freq_am,freq_day,freq_pm,freq_night
233001883,41590-36604,36604,신수리,126.935683,37.226583,다사4914,봉담읍,0.36,0.15,3.0,0,2,0,5.0,4.762,5.0,0.214
233001884,41590-37924,37924,전곡삼거리,126.68925,37.187167,다사2810,서신면,1.33,5.94,0.02,0,1,0,0.571,2.087,0.571,0.0
233001885,41590-37781,37781,전곡리.엠보트,126.664867,37.195567,다사2511,송산면,0.02,0.03,0.02,0,0,1,4.571,15.42,5.071,0.0
233001886,41590-37921,37921,전곡항.서해랑케이블카,126.652667,37.187067,다사2511,송산면,0.11,0.0,20.45,0,3,0,4.571,15.42,5.071,0.0
233001887,41590-37928,37928,느티나무앞,126.69135,37.1743,다사2808,서신면,5.53,3.94,0.09,0,3,0,11.0,30.095,11.0,0.0
233001888,41590-37927,37927,느티나무앞,126.6914,37.174367,다사2808,서신면,0.13,0.09,6.56,0,3,0,11.0,30.095,11.0,0.0
233001889,41590-37959,37959,서신초등학교,126.7059,37.168717,다사2908,서신면,11.49,9.71,10.69,0,1,0,4.0,12.0,4.0,1.5
233001890,41590-37960,37960,서신초등학교,126.705967,37.168817,다사2908,서신면,3.45,3.12,9.2,0,1,0,4.0,12.0,4.0,1.5
233001891,41590-37023,37023,화성시남부복지관,126.933067,37.12785,다사4903,향남읍,1.64,1.18,1.01,0,0,1,8.88,27.099,8.96,0.5
233001892,41590-55925,55925,향남역,126.913333,37.12295,다사4702,향남읍,13.72,10.53,26.76,0,5,0,11.0,36.242,11.0,0.5
233001893,41590-55926,55926,향남역,126.913633,37.122733,다사4702,향남읍,20.4,16.56,21.67,0,5,0,11.0,36.242,11.0,0.5
233001894,41590-37028,37028,골재장,126.869083,37.200333,다사4411,비봉면,1.36,0.79,1.52,0,0,1,3.733,6.467,3.8,0.214
233001895,41590-37033,37033,골재장,126.869167,37.200533,다사4411,비봉면,0.82,2.26,1.19,0,0,1,3.733,6.467,3.8,0.214
233001896,41590-37034,37034,남양현대2차,126.823467,37.2005,다사3911,남양읍,2.12,1.06,0.51,0,0,1,6.19,14.24,6.4,0.522
233001897,41590-60095,60095,서화성역(셔틀버스전용),126.787683,37.2481,다사3616,남양읍,0.06,0.03,0.0,0,0,1,6.19,14.24,6.4,0.522
233001898,41590-37035,37035,북양3리,126.8595,37.208567,다사4312,남양읍,2.54,3.53,0.99,0,0,1,6.19,14.24,6.4,0.522
233003154,41590-55551,55551,목동초.베라체,127.1246,37.190083,다사6610,동탄9동,26.02,13.44,110.8,0,4,0,14.3,38.675,14.3,2.103
233003155,41590-55552,55552,e편한세상동탄,127.126083,37.190383,다사6610,동탄9동,298.16,188.82,293.28,0,4,0,14.3,38.675,14.3,2.103
233003156,41590-55553,55553,e편한세상동탄,127.12605,37.190217,다사6610,동탄9동,193.55,117.97,271.41,0,4,0,14.3,38.675,14.3,2.103
233003157,41590-55554,55554,목동중.금강4차,127.127117,37.189133,다사6610,동탄9동,42.64,25.0,64.76,0,4,0,14.3,38.675,14.3,2.103
233003158,41590-55555,55555,금강4차.목동중,127.1273,37.188933,다사6610,동탄9동,10.0,5.53,73.84,0,4,0,14.3,38.675,14.3,2.103
233003159,41590-55556,55556,한신더휴,127.1264,37.186583,다사6609,동탄9동,170.35,109.44,220.53,0,4,0,14.3,38.675,14.3,2.103
233003160,41590-55557,55557,경남아너스빌,127.126517,37.186467,다사6609,동탄9동,145.24,91.5,93.48,0,4,0,14.3,38.675,14.3,2.103
233003161,41590-55558,55558,호반베르디움5차,127.12525,37.1838,다사6609,동탄9동,90.98,59.18,336.95,0,4,0,14.3,38.675,14.3,2.103
233003162,41590-55559,55559,르파비스,127.125317,37.183467,다사6609,동탄9동,340.19,223.44,95.73,0,4,0,14.3,38.675,14.3,2.103
233003163,41590-55560,55560,호수자이파밀리에,127.105917,37.159067,다사6506,동탄8동,20.07,16.38,58.58,0,8,0,45.543,105.19,45.543,1.791
233003164,41590-55561,55561,롯데캐슬.제일풍경채,127.109083,37.157417,다사6506,동탄8동,45.05,29.62,31.89,0,8,0,45.543,105.19,45.543,1.791
233003165,41590-55562,55562,호반6차,127.112683,37.157067,다사6506,동탄8동,43.42,26.76,14.08,0,6,0,40.4,82.752,40.4,1.813
233003166,41590-55563,55563,레이크반도9차,127.116233,37.162017,다사6507,동탄8동,139.94,85.68,18.27,0,6,0,40.4,82.752,40.4,1.813
233003167,41590-55564,55564,동탄2아이파크1단지,127.119917,37.161367,다사6607,동탄7동,168.75,100.38,22.39,0,6,0,40.4,82.752,40.4,1.813
233003168,41590-55565,55565,동탄2아이파크2단지,127.120267,37.16,다사6606,동탄8동,132.92,86.91,20.69,0,6,0,40.4,82.752,40.4,1.813
233003169,41590-55580,55580,파크자이2차,127.046683,37.2011,다사5911,진안동,12.51,8.88,33.95,0,1,0,4.8,7.385,4.8,0.0
233003170,41590-55581,55581,파크자이2차,127.046833,37.20125,다사5911,진안동,38.66,24.88,12.45,0,1,0,4.8,7.385,4.8,0.0
233003171,41590-55582,55582,파크자이1차,127.050033,37.20095,다사6011,동탄3동,29.75,11.88,22.71,0,1,0,4.8,7.385,4.8,0.0
233003172,41590-55583,55583,파크자이1차,127.04965,37.201083,다사6011,동탄3동,77.66,45.79,31.0,0,1,0,4.8,7.385,4.8,0.0
233003173,41590-55618,55618,협성대정문,126.952067,37.2152,다사5113,봉담읍,321.99,77.56,62.8,0,5,0,38.609,84.374,38.609,9.6
233003174,41590-55701,55701,반도10차,127.127167,37.166417,다사6607,동탄7동,102.66,63.94,360.18,0,4,0,9.233,19.333,9.233,0.306
233003175,41590-55707,55707,갈담초교입구,126.9333,37.173,다사4908,봉담읍,0.01,0.0,0.02,0,2,0,0.0,0.0,0.0,0.0
233003176,41590-55708,55708,갈담초교입구,126.9335,37.172883,다사4908,봉담읍,0.01,0.0,0.0,0,2,0,0.0,0.0,0.0,0.0
233003177,41590-55709,55709,기산아파트입구,126.93525,37.175033,다사4908,봉담읍,0.0,0.0,0.01,0,2,0,0.0,0.0,0.0,0.0
233003178,41590-55710,55710,기산아파트입구,126.935233,37.1755,다사4908,봉담읍,0.01,0.0,0.2,0,2,0,0.0,0.0,0.0,0.0
233003179,41590-55711,55711,덕우공단입구,126.9158,37.1608,다사4807,봉담읍,4.49,4.15,2.34,0,4,0,2.0,4.8,2.0,0.0
233003180,41590-55712,55712,덕우공단입구,126.915683,37.16085,다사4807,봉담읍,1.28,7.18,5.07,0,4,0,2.0,4.8,2.0,0.0
233003181,41590-55713,55713,소동촌,126.90795,37.160767,다사4707,팔탄면,3.21,5.88,8.18,0,5,0,2.0,4.8,2.0,0.0
