grid_id,lon,lat,x_5179,y_5179,region_code,region,region_kind,pop,elderly,elderly_ratio,households,houses,workers,a0009,a1014,a1519,a2024,a2529,a3034,a3539,a4044,a4549,a5054,a5559,a6064,a6569,a70p
다사5705,127.02142,37.14725,957500.0,1905500.0,31240430,정남면,면,145.0,41.0,0.2828,38.0,33.0,1423.0,5.0,0,6.0,24.0,18.0,18.0,8.0,8.0,5.0,8.0,8.0,13.0,13.0,28.0
다사5706,127.02136,37.15627,957500.0,1906500.0,31240430,정남면,면,360.0,100.0,0.2778,129.0,110.0,933.0,5.0,8.0,8.0,21.0,38.0,39.0,21.0,18.0,18.0,28.0,33.0,33.0,43.0,57.0
다사5707,127.02131,37.16528,957500.0,1907500.0,31240430,정남면,면,2739.0,218.0,0.0796,1003.0,1013.0,691.0,357.0,173.0,94.0,73.0,171.0,263.0,284.0,342.0,244.0,187.0,168.0,169.0,114.0,104.0
다사5711,127.02108,37.20134,957500.0,1911500.0,31240570,화산동,동,5946.0,707.0,0.1189,2191.0,2127.0,360.0,577.0,273.0,255.0,328.0,389.0,440.0,477.0,542.0,491.0,556.0,510.0,397.0,292.0,415.0
다사5712,127.02102,37.21035,957500.0,1912500.0,31240570,화산동,동,2769.0,585.0,0.2113,1341.0,1218.0,605.0,81.0,73.0,93.0,149.0,183.0,207.0,149.0,185.0,226.0,272.0,277.0,283.0,214.0,371.0
다사5713,127.02097,37.21936,957500.0,1913500.0,31240570,화산동,동,364.0,145.0,0.3984,149.0,121.0,1128.0,5.0,0,8.0,13.0,27.0,25.0,18.0,13.0,23.0,18.0,28.0,48.0,43.0,102.0
다사5804,127.03274,37.13828,958500.0,1904500.0,31240430,정남면,면,1037.0,144.0,0.1389,353.0,297.0,2529.0,33.0,29.0,39.0,58.0,126.0,108.0,87.0,99.0,77.0,79.0,81.0,78.0,49.0,95.0
다사5811,127.03235,37.20138,958500.0,1911500.0,31240530,병점1동,동,10073.0,758.0,0.0753,4519.0,3552.0,2725.0,1170.0,458.0,365.0,539.0,1109.0,1118.0,1043.0,1039.0,744.0,768.0,545.0,411.0,308.0,450.0
다사5812,127.03229,37.21039,958500.0,1912500.0,31240520,진안동,동,8524.0,1085.0,0.1273,5163.0,2539.0,6429.0,192.0,121.0,168.0,667.0,1751.0,1203.0,615.0,567.0,489.0,593.0,558.0,514.0,406.0,679.0
다사5813,127.03224,37.21941,958500.0,1913500.0,31240520,진안동,동,4633.0,377.0,0.0814,2454.0,1462.0,976.0,212.0,179.0,177.0,297.0,580.0,540.0,383.0,449.0,376.0,472.0,354.0,236.0,171.0,206.0
다사5814,127.03218,37.22842,958500.0,1914500.0,31240520,진안동,동,482.0,170.0,0.3527,175.0,139.0,1183.0,16.0,8.0,13.0,13.0,35.0,34.0,28.0,18.0,23.0,33.0,44.0,48.0,44.0,126.0
다사5911,127.04362,37.20143,959500.0,1911500.0,31240520,진안동,동,19592.0,2511.0,0.1282,6864.0,6886.0,2064.0,1418.0,1233.0,1205.0,1118.0,1248.0,1289.0,1296.0,1731.0,1771.0,1882.0,1588.0,1304.0,980.0,1531.0
다사5912,127.04356,37.21044,959500.0,1912500.0,31240540,병점2동,동,25931.0,3019.0,0.1164,10628.0,8591.0,8904.0,1429.0,1507.0,1704.0,1795.0,2316.0,1971.0,1564.0,2154.0,2484.0,2637.0,1977.0,1381.0,1041.0,1978.0
다사5913,127.04351,37.21945,959500.0,1913500.0,31240520,진안동,동,12437.0,1613.0,0.1297,5574.0,4785.0,3544.0,797.0,669.0,667.0,682.0,981.0,1014.0,880.0,1144.0,1160.0,1169.0,914.0,744.0,600.0,1013.0
다사5914,127.04345,37.22847,959500.0,1914500.0,31240520,진안동,동,4040.0,432.0,0.1069,1500.0,1480.0,1522.0,375.0,194.0,145.0,195.0,249.0,367.0,371.0,401.0,317.0,329.0,368.0,298.0,210.0,222.0
다사5915,127.0434,37.23748,959500.0,1915500.0,31240520,진안동,동,15890.0,694.0,0.0437,5446.0,5428.0,2177.0,3241.0,1099.0,557.0,383.0,476.0,1403.0,2485.0,2423.0,1340.0,822.0,565.0,401.0,321.0,373.0
다사6011,127.05488,37.20147,960500.0,1911500.0,31240620,동탄3동,동,19045.0,1343.0,0.0705,6789.0,6157.0,3136.0,2205.0,1475.0,1181.0,875.0,1066.0,1659.0,1717.0,2203.0,1881.0,1642.0,1066.0,726.0,495.0,848.0
다사6012,127.05483,37.21048,960500.0,1912500.0,31240620,동탄3동,동,19701.0,1958.0,0.0994,7569.0,7342.0,3205.0,1951.0,1484.0,1254.0,903.0,1050.0,1473.0,1580.0,2175.0,1959.0,1793.0,1188.0,935.0,709.0,1249.0
다사6013,127.05478,37.2195,960500.0,1913500.0,31240520,진안동,동,20162.0,1244.0,0.0617,9475.0,5415.0,4099.0,1814.0,1312.0,1009.0,1085.0,2562.0,2381.0,1723.0,2042.0,1804.0,1430.0,946.0,804.0,534.0,710.0
다사6014,127.05473,37.22851,960500.0,1914500.0,31240550,반월동,동,7221.0,604.0,0.0836,2394.0,2375.0,3865.0,821.0,579.0,453.0,317.0,385.0,530.0,698.0,788.0,673.0,541.0,420.0,406.0,267.0,337.0
다사6110,127.0662,37.1925,961500.0,1910500.0,31240600,동탄2동,동,14415.0,1894.0,0.1314,5923.0,5642.0,1939.0,1362.0,806.0,705.0,672.0,814.0,1078.0,1158.0,1489.0,1310.0,1260.0,997.0,867.0,691.0,1203.0
다사6111,127.06615,37.20151,961500.0,1911500.0,31240610,동탄1동,동,21450.0,1341.0,0.0625,7696.0,6974.0,4476.0,2177.0,1719.0,1390.0,999.0,1396.0,1516.0,1811.0,2189.0,2305.0,2154.0,1479.0,978.0,586.0,755.0
다사6112,127.0661,37.21052,961500.0,1912500.0,31240610,동탄1동,동,11836.0,1145.0,0.0967,4835.0,3426.0,3878.0,1016.0,739.0,703.0,742.0,1025.0,1088.0,1021.0,1098.0,1034.0,1031.0,712.0,481.0,430.0,715.0
다사6113,127.06605,37.21954,961500.0,1913500.0,31240550,반월동,동,721.0,147.0,0.2039,342.0,316.0,5390.0,38.0,30.0,45.0,26.0,47.0,44.0,39.0,55.0,56.0,71.0,59.0,56.0,51.0,96.0
다사6114,127.066,37.22855,961500.0,1914500.0,31240550,반월동,동,10797.0,871.0,0.0807,4089.0,3837.0,59383.0,1311.0,601.0,452.0,417.0,692.0,1165.0,1170.0,1273.0,828.0,678.0,720.0,623.0,450.0,421.0
다사6115,127.06595,37.23757,961500.0,1915500.0,31240550,반월동,동,22934.0,2588.0,0.1128,8624.0,8319.0,3896.0,2498.0,1297.0,1001.0,1026.0,1337.0,2070.0,2236.0,2211.0,1747.0,1790.0,1646.0,1502.0,1044.0,1544.0
다사6207,127.07762,37.16549,962500.0,1907500.0,31240700,동탄6동,동,2074.0,290.0,0.1398,908.0,689.0,761.0,131.0,110.0,90.0,98.0,130.0,161.0,177.0,178.0,192.0,177.0,178.0,171.0,122.0,168.0
다사6208,127.07757,37.17451,962500.0,1908500.0,31240700,동탄6동,동,228.0,80.0,0.3509,120.0,81.0,697.0,0.0,0.0,5.0,8.0,13.0,13.0,13.0,13.0,8.0,18.0,23.0,38.0,28.0,52.0
다사6209,127.07752,37.18352,962500.0,1909500.0,31240700,동탄6동,동,1508.0,150.0,0.0995,419.0,347.0,2891.0,93.0,134.0,280.0,90.0,54.0,39.0,55.0,124.0,157.0,160.0,93.0,78.0,43.0,107.0
다사6210,127.07747,37.19254,962500.0,1910500.0,31240600,동탄2동,동,16916.0,1069.0,0.0632,5293.0,4913.0,4792.0,1393.0,1753.0,1583.0,999.0,774.0,634.0,855.0,1762.0,2176.0,1983.0,1194.0,740.0,424.0,645.0
다사6211,127.07742,37.20155,962500.0,1911500.0,31240610,동탄1동,동,7429.0,493.0,0.0664,3394.0,1978.0,8499.0,463.0,547.0,487.0,418.0,901.0,788.0,465.0,682.0,733.0,688.0,463.0,308.0,186.0,307.0
다사6212,127.07737,37.21056,962500.0,1912500.0,31240610,동탄1동,동,13931.0,802.0,0.0576,5058.0,4428.0,4049.0,1346.0,1032.0,1007.0,704.0,958.0,1127.0,1164.0,1304.0,1469.0,1409.0,1024.0,594.0,329.0,473.0
다사6213,127.07732,37.21958,962500.0,1913500.0,31240610,동탄1동,동,1825.0,57.0,0.0312,1393.0,71.0,9918.0,16.0,8.0,18.0,156.0,587.0,400.0,171.0,113.0,103.0,88.0,65.0,51.0,28.0,29.0
다사6307,127.08889,37.16553,963500.0,1907500.0,31240700,동탄6동,동,2005.0,152.0,0.0758,922.0,845.0,6769.0,216.0,65.0,46.0,87.0,221.0,300.0,249.0,241.0,132.0,127.0,95.0,80.0,73.0,79.0
