시군구코드,시군구명,시간코드,외국인구분,남자0009수,남자1014수,남자1519수,남자2024수,남자2529수,남자3034수,남자3539수,남자4044수,남자4549수,남자5054수,남자5559수,남자6064수,남자6569수,여자0009수,여자1014수,여자1519수,여자2024수,여자2529수,여자3034수,여자3539수,여자4044수,여자4549수,여자5054수,여자5559수,여자6064수,여자6569수,연도_월_일
41590,화성시,4,외국인,1.76,20.28,303.36,643.21,713.68,573.45,427.24,203.54,222.3,151.11,145.9,51.23,10.15,6.15,4.08,102.26,180.22,270.0,250.02,173.61,160.04,181.98,132.14,73.3,57.61,13.98,20231204
41590,화성시,22,내국인,5356.57,6539.03,6906.15,9624.87,10447.98,9987.03,12547.12,10816.01,10036.76,7371.42,5662.5,3637.04,1767.23,5064.6,5790.61,5955.42,7032.97,8155.05,8138.21,10719.08,8598.23,7782.78,5706.73,4608.72,3325.35,1728.55,20231221
41590,화성시,12,외국인,5.14,44.2,1052.18,2515.95,2467.5,2044.05,1085.92,593.86,614.94,443.04,306.91,141.76,48.93,8.33,40.83,318.01,570.0,730.89,752.03,551.6,479.5,432.56,362.21,242.1,194.95,34.44,20231231
41590,화성시,15,내국인,9284.53,8522.55,6939.38,9232.98,10887.56,11061.08,14456.77,12888.39,13056.28,10451.44,9288.32,6161.29,3357.63,8237.72,7511.32,6798.56,8335.52,9637.07,10193.92,13633.77,11302.77,11218.74,9232.85,8168.16,5784.7,3197.3,20231203
41590,화성시,18,내국인,8802.98,9189.82,7681.42,10283.52,11373.83,11245.51,15663.7,13671.05,13144.67,10352.62,8282.72,5462.66,2852.32,8192.58,8277.61,7083.03,8749.8,10523.85,11000.05,14152.86,11405.7,10641.45,8523.11,7206.34,5019.31,2716.02,20231209
41590,화성시,21,외국인,3.71,45.02,835.99,1912.89,2088.18,1630.49,1023.19,525.56,533.49,345.33,243.95,147.46,51.01,12.23,47.23,436.6,558.57,635.79,684.42,464.82,401.05,348.65,268.86,205.32,121.21,17.05,20231222
41590,화성시,19,외국인,9.19,51.19,765.6,1820.89,1958.1,1657.18,1006.79,601.58,572.81,397.23,255.34,114.89,30.23,14.02,52.79,464.91,579.93,730.99,754.85,502.31,458.12,424.37,336.3,176.61,75.59,52.51,20231201
41590,화성시,8,외국인,1.7,49.44,756.09,1732.34,1747.21,1330.57,847.51,384.75,434.94,351.68,233.55,124.58,36.06,10.16,26.32,252.48,409.15,501.0,532.52,364.72,289.19,305.88,267.46,192.12,141.63,39.87,20231231
41590,화성시,12,내국인,8019.25,7642.45,6929.42,9578.77,10900.16,10896.18,15074.42,13739.4,14115.13,11390.11,10202.72,7206.64,3695.51,7124.85,6955.2,6635.95,8146.72,9840.87,10670.43,13972.15,11670.57,11784.29,9972.46,8946.14,6525.23,3822.97,20231203
41590,화성시,18,내국인,9750.9,8303.7,7197.16,10840.7,11851.65,11123.16,13892.27,13011.55,12833.73,10694.33,8558.45,5295.37,2719.12,9135.41,7581.38,6062.89,7939.05,9345.58,10042.56,13270.12,10832.04,10120.26,7802.77,6525.2,4569.33,2461.92,20231204
41590,화성시,5,내국인,3457.1,3701.93,4122.44,5596.68,5834.79,5638.25,7028.78,6503.42,6664.81,5276.32,4337.98,2888.26,1394.71,3157.71,3126.44,3730.02,4312.6,4742.55,4727.07,6252.9,4855.53,4797.18,3993.29,3455.03,2690.57,1412.96,20231223
41590,화성시,13,내국인,8247.56,7438.12,7262.07,10706.4,12594.57,11083.96,14530.45,14929.09,15381.13,14386.32,12596.87,8491.03,4358.21,7893.57,7034.67,6269.63,7123.2,8774.37,9960.36,13446.94,11968.34,11127.41,9564.26,8742.99,6381.44,3622.0,20231211
41590,화성시,9,내국인,7088.97,5643.32,5803.29,9543.61,10955.54,10156.86,13191.13,13750.35,14338.53,13631.66,12352.63,7826.73,3805.56,6835.87,5190.45,4999.74,5743.29,7353.57,8649.35,11762.11,10001.56,9804.26,8262.51,7740.47,5704.52,3197.17,20231205
41590,화성시,17,외국인,7.86,90.98,1196.72,2356.4,2581.37,2171.29,1483.52,945.16,921.22,606.59,476.34,153.8,65.36,14.06,49.24,470.1,689.04,839.31,853.58,715.59,638.05,633.38,431.73,255.65,148.36,32.62,20231228
41590,화성시,22,외국인,1.86,42.69,807.55,1964.38,1952.67,1462.34,900.62,421.36,331.61,269.64,235.29,109.87,38.19,14.38,41.36,308.13,456.2,585.55,600.94,415.49,299.26,296.16,256.5,146.09,92.73,29.22,20231224
41590,화성시,12,외국인,7.68,109.27,1244.16,2548.03,2605.35,2530.01,2002.14,1242.89,1377.75,1114.9,835.32,332.9,66.01,19.91,38.3,528.17,778.21,988.62,1071.04,874.11,790.47,752.79,483.84,362.5,193.77,63.16,20231226
