route_id,seq,station_id,updown,acc_m
208000016,68,118000150,F,27660.0
208000016,69,118000101,F,28120.0
208000016,70,118000204,F,28930.0
208000016,71,118000110,F,29230.0
208000016,72,118000109,F,29550.0
208000016,73,118000353,B,29790.0
208000016,74,118000124,B,30340.0
208000016,75,118000122,B,30680.0
208000016,76,118000086,B,31400.0
208000016,77,118000085,B,31620.0
208000016,78,118000042,B,32130.0
208000016,79,118000036,B,32380.0
208000016,80,118000035,B,32740.0
208000016,81,118000465,B,33210.0
208000016,82,118000004,B,33950.0
208000016,83,118000102,B,34820.0
208000016,84,118000149,B,35300.0
208000021,11,208000157,F,3720.0
208000021,12,208000156,F,4130.0
208000021,13,208000155,F,4570.0
208000021,14,208000087,F,4980.0
208000021,15,208000086,F,5360.0
208000021,16,208000281,F,5610.0
208000021,17,208000084,F,6260.0
208000021,18,209000118,F,6680.0
208000021,19,209000155,F,7300.0
208000021,20,209000154,F,7440.0
208000021,21,209000126,F,7740.0
208000021,22,209000125,F,8140.0
208000021,23,209000124,F,8310.0
208000021,24,209000123,F,8790.0
208000021,25,209000122,F,9030.0
208000021,26,209000121,F,9300.0
208000021,27,209000240,F,9580.0
208000021,28,225000158,F,9910.0
208000021,29,226000045,F,10300.0
208000021,30,226000044,F,10760.0
208000021,31,226000043,F,11310.0
208000021,32,226000042,F,12070.0
208000021,33,226000089,F,12760.0
208000021,34,226000088,F,13140.0
208000021,35,226000087,F,13700.0
208000021,36,226000086,F,13990.0
208000021,37,226000085,F,14310.0
208000021,38,226000084,F,14600.0
208000021,39,226000083,F,14960.0
208000021,40,226000082,F,15280.0
208000021,41,226000081,F,15910.0
208000021,42,226000080,F,16300.0
208000021,43,226000079,F,16550.0
208000021,44,226000078,F,16800.0
208000021,45,226000077,F,17010.0
208000021,46,226000076,F,17170.0
208000021,47,226000184,F,17490.0
208000021,48,226000075,B,17650.0
208000021,49,226000104,B,17740.0
208000021,50,226000103,B,18230.0
208000021,51,226000102,B,18370.0
208000021,52,226000101,B,18590.0
208000021,53,226000100,B,18830.0
208000021,54,226000099,B,19090.0
208000021,55,226000098,B,19460.0
208000021,56,226000097,B,20110.0
208000021,57,226000096,B,20400.0
208000021,58,226000095,B,20790.0
208000021,59,226000094,B,21040.0
208000021,60,226000093,B,21410.0
208000021,61,226000092,B,21680.0
208000021,62,226000091,B,22130.0
208000021,63,226000090,B,22570.0
208000021,64,226000049,B,23000.0
208000021,65,226000048,B,23270.0
208000021,66,226000192,B,23480.0
208000021,67,226000047,B,23880.0
208000021,68,226000046,B,24350.0
208000021,69,226000124,B,24830.0
208000021,70,209000026,B,25240.0
208000021,71,209000025,B,25820.0
208000021,72,209000024,B,26320.0
208000021,73,209000023,B,26580.0
208000021,74,209000022,B,27000.0
208000021,75,209000021,B,27220.0
208000021,76,209000157,B,27820.0
208000021,77,209000156,B,28000.0
208000021,78,209000119,B,28640.0
208000021,79,208000005,B,29090.0
208000021,80,208000004,B,29590.0
208000021,81,208000003,B,29980.0
208000021,82,208000002,B,30360.0
208000021,83,208000001,B,30830.0
208000021,84,208000066,B,31160.0
208000021,85,208000065,B,31540.0
208000021,86,208000064,B,31860.0
208000021,87,208000105,B,32200.0
208000021,88,208000104,B,32580.0
208000021,89,208000103,B,33090.0
208000021,90,208000102,B,33400.0
208000021,91,208000013,B,33680.0
208000021,92,208000271,B,33860.0
208000021,93,208000269,B,34140.0
208000021,94,208000266,B,34950.0
208000021,95,208000381,B,35350.0
208000024,1,226000109,F,
208000024,2,226000108,F,260.0
208000024,3,226000107,F,440.0
208000024,4,226000106,F,560.0
208000024,5,226000105,F,970.0
208000024,6,226000104,F,1590.0
208000024,7,226000183,F,1740.0
208000024,8,226000103,F,2080.0
208000024,9,226000102,F,2220.0
208000024,10,226000101,F,2440.0
208000024,11,226000100,F,2680.0
208000024,12,226000161,F,2980.0
208000024,13,226000159,F,3320.0
208000024,14,226000157,F,3690.0
208000024,15,226000156,F,3940.0
208000024,16,226000095,F,5100.0
208000024,17,226000094,F,5350.0
208000024,18,226000093,F,5720.0
208000024,19,226000092,F,5990.0
208000024,20,226000091,F,6440.0
208000024,21,226000090,F,6880.0
208000024,22,226000049,F,7310.0
208000024,23,226000048,F,7580.0
208000024,24,226000201,F,7820.0
208000024,25,226000068,F,7970.0
208000024,26,226000067,F,8250.0
208000024,27,226000015,F,8690.0
208000024,28,226000014,F,9050.0
208000024,29,226000013,F,9520.0
208000024,30,226000012,F,9820.0
208000024,31,226000004,F,10360.0
208000024,32,226000003,F,10930.0
208000024,33,226000211,F,11250.0
208000024,34,209000004,F,11660.0
208000024,35,226000136,F,11890.0
208000024,36,226000066,F,12370.0
208000024,37,226000065,F,12590.0
208000024,38,226000064,F,12900.0
208000024,39,226000123,F,13220.0
208000024,40,226000063,F,13560.0
208000024,41,226000238,F,14020.0
208000024,42,226000251,F,14500.0
208000024,43,226000149,F,14600.0
208000024,44,226000150,F,14840.0
208000024,45,226000142,F,15200.0
208000024,46,226000059,F,15580.0
208000024,47,226000189,F,15920.0
208000024,48,226000057,F,16360.0
208000024,49,209000186,F,16710.0
208000024,50,209000153,F,16930.0
208000024,51,209000152,F,17270.0
208000024,52,220000092,F,18180.0
208000024,53,220000028,F,18790.0
208000024,54,220000027,F,19060.0
208000024,55,220000031,F,19640.0
208000024,56,220000026,F,19930.0
208000024,57,220000025,F,20490.0
208000024,58,220000024,F,20800.0
208000024,59,220000023,F,21180.0
208000024,60,220000022,F,21730.0
208000024,61,220000021,F,22130.0
208000024,62,220000020,F,23360.0
