grid_id,period,D,S,zD,zS,mi,quadrant,priority,bin_mi,bin_demand,bin_supply,coverage,freq,pop,workers,elderly_ratio,region,mi_raw,mi_naive,nf,bin_flow,action,region_code,region_kind,d_score,s_score,flow_trips_per_day,nearest_stop_id,nearest_stop_m,lon,lat
다바3494,night,0.271858,0.33405,-0.1056,0.425,-0.5306,mid,0.0,2,3,3,0.8088,1.211,193.0,62.0,0.4145,우정읍,-0.5306,-0.5306,0.38407,2,ADD_FREQ,31240130,읍,27.19,33.41,48.2,41590-36830,114.7,126.7634,37.04678
다바3495,night,0.230342,0.117384,-0.2659,-0.4116,0.1383,mid,0.0,3,2,2,0.508,0.029,233.0,491.0,0.2446,우정읍,0.1383,0.1457,0.41679,2,ADD_FREQ,31240130,읍,23.03,11.74,58.2,41590-37388,295.2,126.76331,37.05579
다바3496,night,0.0,0.011,-1.1555,-0.8224,-0.0,mid,0.0,3,0,0,0.05,0.0,0.0,0.0,0.0,우정읍,-0.0,-0.3331,0.0,0,DRT,31240130,읍,0.0,1.1,0.0,41590-37518,1182.8,126.76323,37.0648
다바3497,night,0.033703,0.011,-1.0254,-0.8224,-0.0552,mid,0.0,3,0,0,0.05,0.0,13.0,7.0,0.7692,우정읍,-0.0552,-0.2029,0.06701,0,DRT,31240130,읍,3.37,1.1,3.2,41590-37448,783.4,126.76314,37.07382
다바3498,night,0.02229,0.011,-1.0695,-0.8224,-0.0514,mid,0.0,3,0,0,0.05,0.0,5.0,0.0,0.0,우정읍,-0.0514,-0.247,0.04458,0,DRT,31240130,읍,2.23,1.1,1.2,41590-37485,900.0,126.76305,37.08283
다바3499,night,0.02229,0.011,-1.0695,-0.8224,-0.0514,mid,0.0,3,0,0,0.05,0.0,5.0,3.0,0.0,우정읍,-0.0514,-0.247,0.04458,0,DRT,31240130,읍,2.23,1.1,1.2,41590-37485,939.6,126.76297,37.09184
다바3593,night,0.281736,0.194883,-0.0674,-0.1124,0.045,mid,0.0,3,3,3,0.8858,0.0,284.0,51.0,0.3521,우정읍,0.045,0.045,0.44419,3,ADD_FREQ,31240130,읍,28.17,19.49,71.0,41590-36582,68.5,126.77473,37.03783
다바3594,night,0.175114,0.065818,-0.4792,-0.6108,0.1045,mid,0.0,3,1,1,0.0953,0.256,63.0,20.0,0.4444,우정읍,0.1045,0.1315,0.26492,1,DRT,31240130,읍,17.51,6.58,15.8,41590-55142,542.8,126.77465,37.04684
다바3595,night,0.206778,0.12366,-0.3569,-0.3874,0.027,drt,0.0,3,2,2,0.2485,0.42,127.0,420.0,0.4882,우정읍,0.027,0.0305,0.35795,2,NEW_STOP,31240130,읍,20.68,12.37,31.8,41590-36580,450.9,126.77456,37.05586
다바3596,night,0.179925,0.1199,-0.4606,-0.4019,-0.0475,drt,0.0,3,1,2,0.545,0.0,128.0,205.0,0.4609,우정읍,-0.0475,-0.0587,0.33859,1,ADD_FREQ,31240130,읍,17.99,11.99,32.0,41590-36941,273.0,126.77447,37.06487
다바3597,night,0.19028,0.042533,-0.4206,-0.7007,0.2347,drt,0.0,3,1,1,0.1933,0.0,163.0,8.0,0.5215,우정읍,0.2347,0.28,0.36701,2,NEW_STOP,31240130,읍,19.03,4.25,40.8,41590-37448,484.0,126.77439,37.07389
다바3598,night,0.211517,0.162983,-0.3386,-0.2356,-0.0925,mid,0.0,3,2,2,0.7408,0.0,143.0,27.0,0.4196,우정읍,-0.0925,-0.1031,0.35014,2,ADD_FREQ,31240130,읍,21.15,16.3,35.8,41590-36858,155.5,126.7743,37.0829
다바3599,night,0.184793,0.012173,-0.4418,-0.8179,0.3093,drt,0.0,4,1,1,0.0553,0.0,133.0,79.0,0.4887,우정읍,0.3093,0.3761,0.35566,2,DRT,31240130,읍,18.48,1.22,33.2,41590-37485,566.8,126.77422,37.09191
다바3693,night,0.137542,0.011,-0.6243,-0.8224,0.1345,mid,0.0,3,1,0,0.05,0.0,53.0,770.0,0.6792,우정읍,0.1345,0.1981,0.26341,1,DRT,31240130,읍,13.75,1.1,13.2,41590-36464,636.3,126.78598,37.0379
다바3694,night,0.190929,0.05819,-0.4181,-0.6402,0.1866,drt,0.0,3,1,1,0.2645,0.0,133.0,33.0,0.2707,우정읍,0.1866,0.2221,0.35265,2,NEW_STOP,31240130,읍,19.09,5.82,33.2,41590-36953,441.3,126.78589,37.04691
다바3695,night,0.332698,0.166079,0.1294,-0.2236,0.353,mid,0.0,4,3,2,0.447,0.411,544.0,196.0,0.1562,우정읍,0.353,0.353,0.53874,3,NEW_STOP,31240130,읍,33.27,16.61,136.0,41590-37521,331.8,126.78581,37.05593
다바3696,night,0.266843,0.112964,-0.1249,-0.4287,0.3038,mid,0.0,4,2,2,0.2183,0.391,271.0,145.0,0.2841,우정읍,0.3038,0.3038,0.43558,3,NEW_STOP,31240130,읍,26.68,11.3,67.8,41590-37525,469.0,126.78572,37.06494
다바3697,night,0.164124,0.015913,-0.5217,-0.8035,0.2146,drt,0.0,3,1,1,0.0723,0.0,98.0,74.0,0.4592,우정읍,0.2146,0.2818,0.32136,1,DRT,31240130,읍,16.41,1.59,24.5,41590-37392,556.6,126.78564,37.07395
다바3698,night,0.231081,0.050123,-0.2631,-0.6714,0.3883,mid,0.0,4,2,1,0.2278,0.0,198.0,159.0,0.2626,우정읍,0.3883,0.4083,0.4058,2,NEW_STOP,31240130,읍,23.11,5.01,49.5,41590-37452,463.3,126.78555,37.08297
다바3699,night,0.162055,0.099183,-0.5297,-0.4819,-0.036,mid,0.0,3,1,2,0.4508,0.0,68.0,106.0,0.5294,우정읍,-0.036,-0.0477,0.29096,1,NEW_STOP,31240130,읍,16.21,9.92,17.0,41590-55159,329.5,126.78547,37.09198
다바3791,night,0.0,0.011,-1.1555,-0.8224,-0.0,mid,0.0,3,0,0,0.05,0.0,0.0,0.0,0.0,우정읍,-0.0,-0.3331,0.0,0,DRT,31240130,읍,0.0,1.1,0.0,41590-37498,793.5,126.79739,37.01994
다바3792,night,0.283187,0.119423,-0.0618,-0.4038,0.3419,mid,0.0,4,3,2,0.5428,0.0,283.0,297.0,0.2756,우정읍,0.3419,0.3419,0.44976,3,ADD_FREQ,31240130,읍,28.32,11.94,70.8,41590-37498,274.3,126.7973,37.02895
다바3793,night,0.279289,0.083893,-0.0769,-0.541,0.4641,mid,0.0,4,3,2,0.3813,0.0,304.0,407.0,0.2993,우정읍,0.4641,0.4641,0.44926,3,NEW_STOP,31240130,읍,27.93,8.39,76.0,41590-36461,371.2,126.79722,37.03797
다바3794,night,0.300831,0.15697,0.0063,-0.2588,0.2651,mid,0.0,4,3,2,0.7135,0.0,299.0,1301.0,0.1672,우정읍,0.2651,0.2651,0.46323,3,ADD_FREQ,31240130,읍,30.08,15.7,74.8,41590-36829,171.9,126.79714,37.04698
다바3795,night,0.236934,0.172737,-0.2405,-0.1979,-0.0411,mid,0.0,3,2,2,0.7852,0.0,178.0,521.0,0.264,장안면,-0.0411,-0.0426,0.38519,2,ADD_FREQ,31240390,면,23.69,17.27,44.5,41590-36950,128.9,126.79705,37.05599
다바3796,night,0.476049,0.32743,0.683,0.3994,0.2836,mid,0.0,4,4,3,0.7938,1.174,917.0,619.0,0.12,우정읍,0.2836,0.2836,0.62,4,ADD_FREQ,31240130,읍,47.6,32.74,229.2,41590-36918,123.7,126.79697,37.06501
다바3797,night,0.179759,0.011,-0.4613,-0.8224,0.2917,drt,0.0,4,1,0,0.05,0.0,138.0,447.0,0.1884,우정읍,0.2917,0.3612,0.35457,2,DRT,31240130,읍,17.98,1.1,34.5,41590-37391,604.7,126.79689,37.07402
다바3798,night,0.21516,0.1859,-0.3246,-0.1471,-0.1611,mid,0.0,3,2,3,0.845,0.0,237.0,75.0,0.2278,우정읍,-0.1611,-0.1775,0.42017,2,ADD_FREQ,31240130,읍,21.52,18.59,59.2,41590-36837,93.0,126.7968,37.08303
