순번,관할관청,운행업체,노선번호,기점,종점,인가거리,인가대수,출퇴근배차,평일배차,주말배차,주중상행첫차,주중상행막차,주말상행첫차,주말상행막차,주중하행첫차,주중하행막차,주말하행첫차,주말하행막차,비고
113,화성시,화성-청진교통,H20번,병점역후문,동탄역(동측),30.9,5,25,30,70.0,06:00,22:30,06:00,22:30,06:00,22:30,06:00,22:30,
114,화성시,화성-매봉여객,H3번,화성의과학대학교,(임시)서희스타힐스4차,16.1,2,20,60,60.0,14:00,22:00,15:00,22:00,14:30,22:30,15:30,22:30,
115,화성시,화성-수성여객,H4번,병점역.화성청년지원센터,아이원.호수자이파밀리에,29.1,4,20,40,50.0,22:00,02:50,22:20,02:30,22:00,02:50,22:00,02:50,
116,화성시,화성-수성여객,H5번,병점역.화성청년지원센터,아이원.호수자이파밀리에,33.2,4,25,30,55.0,22:00,02:50,22:00,02:25,22:00,02:50,22:00,02:25,
117,화성시,화성-화성도시공사,H50번,전곡항.서해랑케이블카,동미산입구,19.0,1,60,120,120.0,06:30,21:40,06:30,21:40,06:45,21:55,06:45,21:55,
118,화성시,화성-화성도시공사,H50-3번,차고지대기(미정차),우리중앙교회,24.9,1,105,120,120.0,05:40,22:30,05:40,22:30,06:10,23:00,06:10,23:05,
119,화성시,화성-화성도시공사,H50-6A번,차고지대기(미정차),금강아파트,18.2,1,100,120,120.0,05:40,21:45,05:40,21:45,06:20,22:25,06:20,22:25,
120,화성시,화성-화성도시공사,H50-6B번,차고지대기(미정차),금강아파트,20.1,1,100,120,120.0,06:00,22:45,06:00,22:45,06:40,23:30,06:40,23:30,
121,화성시,화성-화성도시공사,H50-7번,차고지대기(미정차),사강복지회관,30.3,1,90,110,110.0,06:00,22:00,06:00,22:00,06:35,22:35,06:35,22:35,
122,화성시,화성-화성도시공사,H51번,전곡항.서해랑케이블카,백미리사랑방,39.7,1,120,140,140.0,05:30,22:20,05:30,22:20,06:20,23:10,06:20,23:10,
123,화성시,화성-화성도시공사,H52번,전곡항.서해랑케이블카,궁평유원지종점,38.1,1,110,140,140.0,06:00,21:50,06:00,21:50,06:45,22:35,06:45,22:35,
124,화성시,화성-수성여객,H6(A)번,서동탄역,서동탄역,21.0,2,20,40,80.0,22:30,02:30,22:30,02:00,,,,,
125,화성시,화성-수성여객,H6(B)번,서동탄역,서동탄역,21.0,2,20,40,80.0,22:30,02:30,22:30,02:00,,,,,
126,화성시,화성-수성여객,H8번,신창아파트,수원대학교,16.4,2,40,50,100.0,22:30,02:50,22:30,02:50,22:30,02:50,23:20,02:10,
127,화성시,화성-산척여객,H9번,방교동일반산업단지,동탄역(동측),31.8,3,40,45,45.0,05:30,21:10,05:30,21:10,06:20,22:00,06:20,22:00,
128,화성시,화성-송산여객,공영2(삼존),(임시)서희스타힐스4차,사강종점,32.2,1,195,195,,07:45,11:00,,,08:45,12:00,,,
129,화성시,화성-송산여객,공영2(송정),(임시)서희스타힐스4차,사강종점,29.7,1,190,215,290.0,06:15,13:00,09:25,14:15,06:55,14:30,10:15,15:05,
130,화성시,화성-금오운수,동탄1순환(A),우남퍼스트빌,동탄역(동측),20.1,3,30,35,90.0,06:00,22:30,06:00,22:30,,,,,
131,화성시,화성-금오운수,동탄1순환(B),우남퍼스트빌,동탄역(동측),13.6,3,25,40,90.0,06:00,22:30,06:00,22:30,,,,,
132,화성시,화성-금오운수,동탄2순환(A),치동천힐링마을,단독주택,7.8,2,25,30,60.0,06:00,22:30,06:00,22:30,,,,,
133,화성시,화성-금오운수,동탄2순환(B),치동천힐링마을,단독주택,7.7,2,25,30,60.0,06:00,22:30,06:00,22:30,,,,,
134,화성시,화성-산척여객,동탄역1(출근),LH1단지.한양수자인,동탄역(서측),3.3,2,0,0,,07:00,07:50,,,,,,,
135,화성시,화성-수성여객,동탄역1(퇴근),동탄역(동측),LH1단지.한양수자인,3.2,3,20,20,,18:20,19:00,,,,,,,
136,화성시,화성-산척여객,동탄역2(출근),단독주택,동탄역(서측),4.9,3,0,0,,07:00,07:50,,,,,,,
137,화성시,화성-수성여객,동탄역2(퇴근),동탄역(동측),단독주택,4.8,3,20,20,,18:20,19:00,,,,,,,
138,화성시,화성-산척여객,동탄역3(출근),반도10차,동탄역(동측),10.4,3,15,15,,07:00,07:30,,,,,,,
139,화성시,화성-산척여객,동탄역3(퇴근),동탄역(서측),반도10차,10.3,3,15,15,,18:30,19:00,,,,,,,
140,화성시,화성-산척여객,동탄역4(출근),산척리,동탄역(동측),7.6,3,15,15,,07:10,07:40,,,,,,,
141,화성시,화성-산척여객,동탄역4(퇴근),동탄역(서측),산척리,7.4,3,15,15,,18:30,19:00,,,,,,,
142,화성시,화성-수성여객,동탄역5(출근),서동탄역,동탄역(서측),7.0,2,15,15,,07:00,07:30,,,,,,,
