역사명,노선명,역위도,역경도
병점역,경부선,37.206821,127.033268
서동탄역,경부선,37.195675,127.051893
어천역,수인선,37.250076,126.908805
야목역,수인선,37.261211,126.884029
동탄역,SRT/GTX-A,37.1997,127.0962
