grid_id,period,D,S,zD,zS,mi,quadrant,priority,bin_mi,bin_demand,bin_supply,coverage,freq,pop,workers,elderly_ratio,region,mi_raw,mi_naive,nf,bin_flow,action,region_code,region_kind,d_score,s_score,flow_trips_per_day,nearest_stop_id,nearest_stop_m,lon,lat
다사4414,am,0.193936,0.511051,-0.4576,0.5152,-0.7806,over,0.0,1,1,3,0.4117,12.853,133.0,114.0,0.3308,비봉면,-0.7806,-0.9728,0.37956,2,NEW_STOP,31240330,면,19.39,51.11,33.2,41590-55380,353.0,126.87437,37.22769
다사4415,am,0.627613,0.966895,1.2332,2.0915,-0.8583,ok,0.0,1,4,4,0.9342,115.684,1105.0,955.0,0.181,비봉면,-0.8583,-0.8583,0.65675,4,ADD_FREQ,31240330,면,62.76,96.69,276.2,41590-37186,39.5,126.8743,37.23671
다사4416,am,0.694986,0.764544,1.4958,1.3918,0.1041,ok,0.0,3,4,4,0.8035,38.419,2017.0,304.0,0.2593,비봉면,0.1041,0.1041,0.74708,4,ADD_FREQ,31240330,면,69.5,76.45,504.2,41590-60020,117.9,126.87422,37.24572
다사4417,am,0.332203,0.607306,0.0814,0.848,-0.7666,mid,0.0,1,3,3,0.6063,18.346,78.0,66.0,0.5641,비봉면,-0.7666,-0.7666,0.33053,1,ADD_FREQ,31240330,면,33.22,60.73,19.5,41590-37729,236.2,126.87415,37.25473
다사4418,am,0.36394,0.64718,0.2052,0.9859,-0.7807,mid,0.0,1,3,4,0.4403,30.188,395.0,177.0,0.4025,매송면,-0.7807,-0.7807,0.51972,3,NEW_STOP,31240310,면,36.39,64.72,98.8,41590-37599,335.8,126.87407,37.26375
다사4419,am,0.139476,0.011,-0.6699,-1.214,0.3524,mid,0.0,4,1,0,0.05,0.0,48.0,3.0,0.6458,매송면,0.3524,0.544,0.27895,1,DRT,31240310,면,13.95,1.1,12.0,41590-37187,658.7,126.874,37.27276
다사4500,am,0.194752,0.15433,-0.4544,-0.7184,0.2124,drt,0.0,3,1,1,0.7015,0.0,138.0,195.0,0.2246,팔탄면,0.2124,0.2639,0.3895,2,ADD_FREQ,31240380,면,19.48,15.43,34.5,41590-55480,179.1,126.88666,37.10156
다사4501,am,0.357969,0.443716,0.1819,0.2823,-0.1004,mid,0.0,3,3,2,0.1828,11.457,188.0,149.0,0.2872,팔탄면,-0.1004,-0.1004,0.41364,2,NEW_STOP,31240380,면,35.8,44.37,47.0,41590-37206,490.3,126.88659,37.11058
다사4502,am,0.343349,0.586711,0.1249,0.7768,-0.6519,mid,0.0,2,3,3,0.6578,14.846,326.0,315.0,0.2301,팔탄면,-0.6519,-0.6519,0.48488,3,ADD_FREQ,31240380,면,34.33,58.67,81.5,41590-37216,205.3,126.88652,37.11959
다사4503,am,0.323228,0.5797,0.0465,0.7526,-0.7061,mid,0.0,1,3,3,0.7165,12.991,604.0,526.0,0.1871,팔탄면,-0.7061,-0.7061,0.56982,3,ADD_FREQ,31240380,면,32.32,57.97,151.0,41590-37360,170.1,126.88644,37.1286
다사4504,am,0.293848,0.352637,-0.0681,-0.0326,-0.0355,mid,0.0,3,3,2,0.6707,2.604,203.0,1050.0,0.0493,팔탄면,-0.0355,-0.0355,0.41602,2,ADD_FREQ,31240380,면,29.38,35.26,50.8,41590-37413,197.6,126.88637,37.13762
다사4505,am,0.250041,0.166577,-0.2389,-0.676,0.4138,mid,0.0,4,2,1,0.3498,0.751,305.0,723.0,0.2131,팔탄면,0.4138,0.4371,0.47334,3,NEW_STOP,31240380,면,25.0,16.66,76.2,41590-36451,390.1,126.8863,37.14663
다사4506,am,0.311676,0.464556,0.0014,0.3544,-0.353,mid,0.0,2,3,3,0.7665,5.359,240.0,636.0,0.2167,팔탄면,-0.353,-0.353,0.44298,3,ADD_FREQ,31240380,면,31.17,46.46,60.0,41590-37402,140.1,126.88623,37.15564
다사4507,am,0.422006,0.142243,0.4316,-0.7602,1.1917,need,1.49309,5,3,1,0.1745,0.914,266.0,2253.0,0.203,팔탄면,1.1917,1.1917,0.46191,3,NEW_STOP,31240380,면,42.2,14.22,66.5,41590-55911,495.3,126.88615,37.16466
다사4508,am,0.448757,0.517758,0.5359,0.5384,-0.0025,ok,0.0,3,3,3,0.2975,15.902,645.0,2525.0,0.0636,팔탄면,-0.0025,-0.0025,0.57973,4,NEW_STOP,31240380,면,44.88,51.78,161.2,41590-55004,421.5,126.88608,37.17367
다사4509,am,0.368101,0.744743,0.2214,1.3233,-1.1019,mid,0.0,1,3,4,0.7427,36.869,188.0,1200.0,0.1809,팔탄면,-1.1019,-1.1019,0.41732,2,ADD_FREQ,31240380,면,36.81,74.47,47.0,41590-55006,154.4,126.88601,37.18269
다사4510,am,0.434609,0.667243,0.4807,1.0553,-0.5746,ok,0.0,2,3,4,0.4937,31.855,321.0,1293.0,0.1371,팔탄면,-0.5746,-0.5746,0.48128,3,NEW_STOP,31240380,면,43.46,66.72,80.2,41590-37209,303.8,126.88593,37.1917
다사4511,am,0.313812,0.660461,0.0097,1.0318,-1.0221,mid,0.0,1,3,4,0.9675,15.413,111.0,755.0,0.3243,비봉면,-1.0221,-1.0221,0.35491,1,ADD_FREQ,31240330,면,31.38,66.05,27.8,41590-37213,19.5,126.88586,37.20071
다사4512,am,0.139808,0.011,-0.6687,-1.214,0.3538,mid,0.0,4,1,0,0.05,0.0,63.0,8.0,0.4127,비봉면,0.3538,0.5453,0.27962,1,DRT,31240330,면,13.98,1.1,15.8,41590-36712,956.6,126.88579,37.20973
다사4513,am,0.107379,0.011,-0.7951,-1.214,0.2289,mid,0.0,3,0,0,0.05,0.0,36.0,0.0,0.0,비봉면,0.2289,0.4189,0.21476,0,DRT,31240330,면,10.74,1.1,9.0,41590-37755,1009.1,126.88571,37.21874
다사4514,am,0.0,0.261165,-1.2137,-0.3489,-0.0,mid,0.0,3,0,2,0.05,3.777,0.0,0.0,0.0,비봉면,-0.0,-0.8648,0.0,0,DRT,31240330,면,0.0,26.12,0.0,41590-37188,664.5,126.88564,37.22775
다사4515,am,0.125545,0.556301,-0.7243,0.6717,-0.8444,over,0.0,1,1,3,0.2057,23.402,13.0,14.0,1.1538,비봉면,-0.8444,-1.3959,0.14349,0,NEW_STOP,31240330,면,12.55,55.63,3.2,41590-37207,476.6,126.88557,37.23677
다사4516,am,0.216302,0.485761,-0.3704,0.4277,-0.6876,over,0.0,2,2,3,0.3822,11.317,93.0,160.0,0.5806,비봉면,-0.6876,-0.7982,0.34788,1,NEW_STOP,31240330,면,21.63,48.58,23.2,41590-37612,370.7,126.8855,37.24578
다사4517,am,0.053047,0.132557,-1.0069,-0.7936,-0.0737,mid,0.0,3,0,1,0.05,1.138,8.0,3.0,0.625,비봉면,-0.0737,-0.2133,0.08978,0,DRT,31240330,면,5.3,13.26,2.0,41590-37218,641.1,126.88542,37.25479
다사4518,am,0.484932,0.756551,0.6769,1.3641,-0.6872,ok,0.0,2,4,4,0.6235,47.03,846.0,172.0,0.2801,매송면,-0.6872,-0.6872,0.6218,4,ADD_FREQ,31240310,면,48.49,75.66,211.5,41590-37614,225.9,126.88535,37.26381
다사4519,am,0.299658,0.566409,-0.0454,0.7066,-0.752,mid,0.0,1,3,3,0.5547,15.085,123.0,256.0,0.3171,매송면,-0.752,-0.752,0.37502,2,ADD_FREQ,31240310,면,29.97,56.64,30.8,41590-37215,267.2,126.88528,37.27282
다사4520,am,0.243886,0.491374,-0.2629,0.4471,-0.6613,mid,0.0,2,2,3,0.776,6.422,190.0,703.0,0.3947,매송면,-0.6613,-0.71,0.41114,2,ADD_FREQ,31240310,면,24.39,49.14,47.5,41590-37210,134.4,126.8852,37.28183
다사4600,am,0.865476,0.843313,2.1605,1.6641,0.4964,ok,0.0,4,4,4,0.5748,87.333,8452.0,738.0,0.0745,향남읍,0.4964,0.4964,0.95096,4,ADD_FREQ,31240140,읍,86.55,84.33,2113.0,41590-55483,255.1,126.89792,37.10162
다사4601,am,0.636118,0.622143,1.2663,0.8993,0.367,ok,0.0,4,4,4,0.5798,21.014,2852.0,384.0,0.0624,향남읍,0.367,0.367,0.79151,4,ADD_FREQ,31240140,읍,63.61,62.21,713.0,41590-36762,252.1,126.89784,37.11063
다사4602,am,0.423275,0.537092,0.4365,0.6052,-0.1687,ok,0.0,3,3,3,0.2963,18.104,1428.0,57.0,0.0357,향남읍,-0.1687,-0.1687,0.68393,4,NEW_STOP,31240140,읍,42.33,53.71,357.0,41590-37225,422.2,126.89777,37.11965
다사4603,am,0.788641,0.753735,1.861,1.3544,0.5066,ok,0.0,4,4,4,0.5385,52.044,5910.0,721.0,0.1291,향남읍,0.5066,0.5066,0.90187,4,ADD_FREQ,31240140,읍,78.86,75.37,1477.5,41590-36908,276.9,126.8977,37.12866
다사4604,am,0.297902,0.663605,-0.0523,1.0427,-1.095,mid,0.0,1,3,4,0.6782,23.919,216.0,714.0,0.5509,향남읍,-1.095,-1.095,0.43267,2,ADD_FREQ,31240140,읍,29.79,66.36,54.0,41590-55114,193.1,126.89763,37.13767
